reward,actions,episodes,losses,q_values,epsilone
1.0,4,32,4.357675,1.0,0.1
1.0,4,32,3.442465,1.0,0.1
1.0,4,32,3.447257,1.0,0.1
1.0,4,32,3.6613288,1.0,0.1
1.0,4,32,4.5065565,1.0,0.1
1.0,4,32,2.9846728,1.0,0.1
1.0,4,32,3.7533727,1.0,0.1
1.0,4,32,3.9051714,1.0,0.1
1.0,4,32,5.693537,1.0,0.1
1.0,4,32,3.2863498,1.0,0.1
1.0,4,32,3.4389238,1.0,0.1
1.0,4,32,4.2917867,1.0,0.1
1.0,4,32,3.5129707,1.0,0.1
1.0,4,32,3.3562655,1.0,0.1
1.0,4,32,3.0096078,1.0,0.1
1.0,4,32,5.8259406,1.0,0.1
1.0,4,33,5.866466,1.0,0.1
1.0,4,33,4.3376474,1.0,0.1
1.0,4,33,3.6041155,1.0,0.1
1.0,4,33,2.7690625,1.0,0.1
1.0,4,33,3.1957848,1.0,0.1
1.0,4,33,3.081679,1.0,0.1
1.0,4,33,3.2966135,1.0,0.1
1.0,4,33,5.9900894,1.0,0.1
1.0,4,33,3.3254979,1.0,0.1
1.0,4,33,7.767838,1.0,0.1
1.0,4,33,3.433364,1.0,0.1
1.0,4,33,7.7520437,1.0,0.1
1.0,4,33,3.2512062,1.0,0.1
1.0,4,33,3.4499989,1.0,0.1
-4.0,2,33,5.8335934,1.0,0.1
1.0,4,33,4.18235,1.0,0.1
1.0,4,33,3.5533957,1.0,0.1
1.0,4,33,5.814369,1.0,0.1
1.0,4,33,3.539525,1.0,0.1
1.0,3,33,3.2931952,1.0,0.1
-4.0,4,33,3.6393483,1.0,0.1
-4.0,4,33,3.8380497,1.0,0.1
-4.0,4,33,3.2867103,1.0,0.1
-4.0,4,33,6.417983,1.0,0.1
-4.0,4,33,4.00381,1.0,0.1
-4.0,4,33,5.140066,1.0,0.1
-4.0,4,33,3.9896502,1.0,0.1
-4.0,4,33,3.813823,1.0,0.1
-4.0,4,33,5.5755634,1.0,0.1
-4.0,4,33,4.9824524,1.0,0.1
-4.0,4,33,3.3198948,1.0,0.1
-4.0,4,33,5.5874834,1.0,0.1
-4.0,4,33,2.8888106,1.0,0.1
-4.0,4,33,6.061728,1.0,0.1
-4.0,4,33,3.5778735,1.0,0.1
-4.0,4,33,3.75603,1.0,0.1
-4.0,4,33,2.7824569,1.0,0.1
-4.0,4,33,3.610827,1.0,0.1
-4.0,4,33,3.6794884,1.0,0.1
-4.0,4,33,3.6471446,1.0,0.1
-4.0,4,34,3.1240735,1.0,0.1
-4.0,4,34,3.5511527,1.0,0.1
-4.0,4,34,3.904193,1.0,0.1
-4.0,4,34,3.6884518,1.0,0.1
-4.0,4,34,3.559279,1.0,0.1
-4.0,4,34,3.676563,1.0,0.1
-4.0,4,34,5.4373236,1.0,0.1
-4.0,4,34,3.591652,1.0,0.1
-4.0,4,34,4.256161,1.0,0.1
-4.0,4,34,5.2504735,1.0,0.1
-4.0,3,34,5.7889605,1.0,0.1
-4.0,4,34,6.36738,1.0,0.1
-4.0,4,34,4.0770044,1.0,0.1
-4.0,4,34,3.2775939,1.0,0.1
-4.0,4,34,5.8599153,1.0,0.1
-4.0,4,34,5.7908945,1.0,0.1
-4.0,4,34,3.492032,1.0,0.1
-4.0,4,34,6.034094,1.0,0.1
-4.0,4,34,3.5145469,1.0,0.1
-4.0,4,34,3.382809,1.0,0.1
-4.0,4,34,3.1379232,1.0,0.1
1.0,4,34,3.5787697,1.0,0.1
1.0,4,34,3.5483232,1.0,0.1
1.0,4,34,6.1384497,1.0,0.1
1.0,4,34,3.3178158,1.0,0.1
1.0,4,34,3.9019914,1.0,0.1
1.0,4,34,5.266177,1.0,0.1
1.0,4,34,3.6507828,1.0,0.1
1.0,4,34,4.02109,1.0,0.1
1.0,4,34,3.5352454,1.0,0.1
1.0,4,34,4.2065763,1.0,0.1
1.0,4,34,3.7021024,1.0,0.1
1.0,4,34,3.531104,1.0,0.1
1.0,4,34,5.863817,1.0,0.1
1.0,4,34,5.3330917,1.0,0.1
1.0,4,34,3.8600569,1.0,0.1
1.0,4,34,3.4588306,1.0,0.1
1.0,4,34,3.629313,1.0,0.1
1.0,4,34,3.842632,1.0,0.1
1.0,4,34,3.021628,1.0,0.1
-4.0,0,35,2.6223423,1.0,0.1
-4.0,4,35,2.0322678,1.0,0.1
-4.0,4,35,3.6719172,1.0,0.1
1.0,4,35,3.7284956,1.0,0.1
1.0,4,35,3.2437625,1.0,0.1
1.0,4,35,3.2146444,1.0,0.1
1.0,4,35,3.8471422,1.0,0.1
1.0,4,35,3.3459177,1.0,0.1
1.0,4,35,6.195524,1.0,0.1
1.0,4,35,4.2756796,1.0,0.1
1.0,4,35,3.4677906,1.0,0.1
1.0,4,35,2.8799632,1.0,0.1
1.0,4,35,3.2955313,1.0,0.1
1.0,4,35,5.6591654,1.0,0.1
1.0,4,35,2.996107,1.0,0.1
1.0,4,35,3.6190927,1.0,0.1
1.0,4,35,3.1821175,1.0,0.1
1.0,4,35,3.604765,1.0,0.1
1.0,4,35,3.523497,1.0,0.1
1.0,4,35,3.6408706,1.0,0.1
1.0,4,35,3.963834,1.0,0.1
1.0,4,35,3.5798318,1.0,0.1
1.0,4,35,6.577856,1.0,0.1
1.0,4,35,2.6990805,1.0,0.1
1.0,4,35,5.450054,1.0,0.1
-4.0,4,35,3.5739822,1.0,0.1
-4.0,4,35,3.7064137,1.0,0.1
-4.0,4,35,5.641654,1.0,0.1
1.0,1,35,3.5988462,1.0,0.1
-4.0,4,35,5.414949,1.0,0.1
-4.0,4,35,3.2543454,1.0,0.1
-4.0,4,35,10.559237,1.0,0.1
-4.0,4,35,5.610381,1.0,0.1
-4.0,4,35,3.563365,1.0,0.1
-4.0,4,35,3.408132,1.0,0.1
-4.0,4,35,3.6015525,1.0,0.1
-4.0,4,35,3.5549686,1.0,0.1
-4.0,4,35,3.3577561,1.0,0.1
-4.0,4,35,3.4530554,1.0,0.1
-4.0,4,35,3.7215266,1.0,0.1
1.0,4,36,3.9253352,1.0,0.1
1.0,4,36,3.8465445,1.0,0.1
1.0,4,36,4.4383674,1.0,0.1
1.0,4,36,3.028937,1.0,0.1
1.0,4,36,8.07281,1.0,0.1
1.0,4,36,4.970616,1.0,0.1
1.0,4,36,4.312805,1.0,0.1
1.0,4,36,3.826297,1.0,0.1
1.0,4,36,4.0873466,1.0,0.1
1.0,4,36,3.9182887,1.0,0.1
1.0,4,36,6.290406,1.0,0.1
1.0,4,36,3.6456876,1.0,0.1
1.0,4,36,3.41084,1.0,0.1
1.0,4,36,4.339752,1.0,0.1
1.0,4,36,3.8881156,1.0,0.1
1.0,4,36,2.9919963,1.0,0.1
1.0,4,36,3.7008185,1.0,0.1
1.0,4,36,2.715828,1.0,0.1
1.0,4,36,3.3575222,1.0,0.1
1.0,4,36,3.095412,1.0,0.1
1.0,4,36,3.3034954,1.0,0.1
2.0787010391751304,4,36,3.3395405,1.0,0.1
-4.0,4,36,3.6226335,1.0,0.1
-4.0,4,36,3.9151778,1.0,0.1
-4.0,4,36,3.4009461,1.0,0.1
-4.0,4,36,5.839374,1.0,0.1
-4.0,4,36,3.6603205,1.0,0.1
-4.0,4,36,2.947617,1.0,0.1
-4.0,4,36,3.9130597,1.0,0.1
-4.0,4,36,3.7233725,1.0,0.1
-4.0,4,36,3.4001732,1.0,0.1
-4.0,4,36,3.521687,1.0,0.1
-4.0,4,36,3.3179345,1.0,0.1
-4.0,4,36,5.5158167,1.0,0.1
1.0,3,36,3.474382,1.0,0.1
-4.0,2,36,3.304865,1.0,0.1
-4.0,4,36,3.7397838,1.0,0.1
-4.0,0,36,3.708229,1.0,0.1
-4.0,4,36,3.2627716,1.0,0.1
-4.0,4,36,3.487517,1.0,0.1
-4.0,4,37,3.290467,1.0,0.1
-4.0,4,37,5.871952,1.0,0.1
-4.0,1,37,6.71046,1.0,0.1
-4.0,4,37,3.808173,1.0,0.1
-4.0,4,37,2.740368,1.0,0.1
-4.0,4,37,3.0073035,1.0,0.1
-4.0,4,37,6.649023,1.0,0.1
1.0,4,37,3.3030548,1.0,0.1
1.0,4,37,3.3057847,1.0,0.1
1.0,4,37,3.6232495,1.0,0.1
1.0,4,37,3.080364,1.0,0.1
1.0,4,37,5.9938097,1.0,0.1
1.0,4,37,3.82548,1.0,0.1
1.0,4,37,4.147578,1.0,0.1
1.0,4,37,3.4082632,1.0,0.1
1.0,4,37,4.093955,1.0,0.1
